time	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6
1140	0.071	0.064	0.074	0.064	0.067	0.062	0.058	0.064	0.078	0.069	0.078	0.066	0.071	0.119	0.065	0.077	0.083	0.068	0.079	0.067	0.07	0.065	0.063	0.048
1155	0.071	0.064	0.074	0.064	0.067	0.062	0.057	0.064	0.078	0.068	0.077	0.066	0.07	0.118	0.065	0.072	0.082	0.068	0.078	0.067	0.069	0.065	0.062	0.051
1170	0.07	0.065	0.074	0.064	0.067	0.061	0.056	0.069	0.077	0.068	0.077	0.065	0.07	0.116	0.064	0.07	0.082	0.068	0.08	0.066	0.069	0.065	0.062	0.065
1185	0.07	0.064	0.074	0.064	0.066	0.062	0.056	0.072	0.078	0.068	0.076	0.065	0.07	0.118	0.064	0.068	0.081	0.067	0.078	0.066	0.069	0.064	0.062	0.073
1200	0.07	0.064	0.074	0.063	0.066	0.061	0.055	0.074	0.077	0.068	0.076	0.065	0.07	0.116	0.063	0.074	0.08	0.067	0.078	0.066	0.069	0.064	0.061	0.076
1215	0.069	0.064	0.073	0.063	0.066	0.061	0.055	0.074	0.076	0.068	0.077	0.065	0.07	0.115	0.063	0.079	0.079	0.067	0.077	0.066	0.068	0.064	0.061	0.075
1230	0.069	0.064	0.073	0.063	0.066	0.061	0.054	0.073	0.075	0.068	0.076	0.065	0.07	0.115	0.062	0.084	0.079	0.067	0.076	0.065	0.068	0.064	0.06	0.071
1245	0.069	0.064	0.073	0.063	0.066	0.061	0.053	0.077	0.075	0.068	0.076	0.065	0.069	0.114	0.062	0.089	0.079	0.068	0.076	0.066	0.068	0.064	0.06	0.068
1260	0.069	0.063	0.073	0.063	0.065	0.06	0.052	0.078	0.075	0.068	0.076	0.065	0.069	0.113	0.062	0.102	0.079	0.067	0.076	0.065	0.068	0.064	0.059	0.063
1275	0.068	0.063	0.073	0.063	0.065	0.06	0.051	0.083	0.074	0.068	0.076	0.065	0.069	0.113	0.061	0.106	0.077	0.067	0.075	0.065	0.068	0.063	0.059	0.06
1290	0.068	0.063	0.073	0.063	0.065	0.06	0.051	0.085	0.074	0.068	0.075	0.064	0.069	0.112	0.061	0.118	0.077	0.066	0.075	0.065	0.068	0.063	0.059	0.061
1305	0.068	0.063	0.072	0.063	0.064	0.06	0.05	0.091	0.074	0.067	0.075	0.064	0.069	0.111	0.06	0.11	0.077	0.066	0.074	0.064	0.067	0.063	0.058	0.078
1320	0.068	0.063	0.072	0.063	0.064	0.059	0.049	0.096	0.074	0.067	0.075	0.064	0.069	0.109	0.06	0.116	0.078	0.066	0.074	0.064	0.067	0.063	0.058	0.082
1335	0.067	0.063	0.072	0.063	0.064	0.059	0.049	0.099	0.073	0.067	0.075	0.064	0.069	0.109	0.059	0.125	0.076	0.066	0.074	0.064	0.067	0.062	0.057	0.087
1350	0.067	0.063	0.072	0.062	0.064	0.059	0.048	0.101	0.075	0.067	0.075	0.064	0.068	0.108	0.059	0.133	0.077	0.066	0.074	0.064	0.067	0.062	0.056	0.087
1365	0.067	0.063	0.071	0.062	0.063	0.058	0.048	0.104	0.074	0.067	0.074	0.064	0.068	0.106	0.058	0.14	0.076	0.065	0.073	0.064	0.067	0.062	0.056	0.088
1380	0.067	0.063	0.071	0.062	0.063	0.058	0.049	0.106	0.073	0.067	0.074	0.064	0.068	0.105	0.058	0.145	0.076	0.066	0.074	0.064	0.066	0.062	0.055	0.09
1395	0.067	0.063	0.071	0.062	0.063	0.058	0.048	0.109	0.073	0.067	0.074	0.064	0.068	0.106	0.058	0.149	0.076	0.065	0.073	0.063	0.067	0.062	0.055	0.095
1410	0.067	0.062	0.071	0.062	0.062	0.057	0.046	0.111	0.072	0.067	0.074	0.064	0.068	0.104	0.059	0.152	0.076	0.065	0.073	0.063	0.066	0.061	0.054	0.101
1425	0.067	0.062	0.071	0.062	0.062	0.057	0.045	0.112	0.073	0.067	0.074	0.064	0.068	0.102	0.06	0.154	0.075	0.065	0.072	0.063	0.066	0.061	0.054	0.106
1440	0.067	0.062	0.071	0.062	0.062	0.057	0.045	0.113	0.072	0.067	0.074	0.064	0.067	0.101	0.062	0.156	0.075	0.065	0.072	0.063	0.066	0.061	0.053	0.11
